Hero,Platform,Game Mode,Role,Rank,Pick Rate,Win Rate
Angela,PC,Competitive,Vanguard,Bronze,0.0684,0.5282
Captain America,PC,Competitive,Vanguard,Bronze,0.0424,0.4914
Doctor Strange,PC,Competitive,Vanguard,Bronze,0.111,0.4963
Emma Frost,PC,Competitive,Vanguard,Bronze,0.1672,0.4924
Groot,PC,Competitive,Vanguard,Bronze,0.0684,0.4807
Hulk,PC,Competitive,Vanguard,Bronze,0.0322,0.4952
Magneto,PC,Competitive,Vanguard,Bronze,0.1683,0.4995
Peni Parker,PC,Competitive,Vanguard,Bronze,0.1361,0.5678
The Thing,PC,Competitive,Vanguard,Bronze,0.0581,0.486
Thor,PC,Competitive,Vanguard,Bronze,0.0605,0.5245
Venom,PC,Competitive,Vanguard,Bronze,0.0875,0.4744
Black Panther,PC,Competitive,Duelist,Bronze,0.0127,0.5321
Black Widow,PC,Competitive,Duelist,Bronze,0.0125,0.4117
Blade,PC,Competitive,Duelist,Bronze,0.0245,0.4944
Daredevil,PC,Competitive,Duelist,Bronze,0.0322,0.5444
Hawkeye,PC,Competitive,Duelist,Bronze,0.0331,0.4984
Hela,PC,Competitive,Duelist,Bronze,0.0524,0.5157
Human Torch,PC,Competitive,Duelist,Bronze,0.0077,0.4079
Iron Fist,PC,Competitive,Duelist,Bronze,0.0172,0.4786
Iron Man,PC,Competitive,Duelist,Bronze,0.0644,0.5104
Magik,PC,Competitive,Duelist,Bronze,0.0337,0.5598
Mister Fantastic,PC,Competitive,Duelist,Bronze,0.027,0.5591
Moon Knight,PC,Competitive,Duelist,Bronze,0.1142,0.5061
Namor,PC,Competitive,Duelist,Bronze,0.0407,0.4857
Phoenix,PC,Competitive,Duelist,Bronze,0.0473,0.4654
Psylocke,PC,Competitive,Duelist,Bronze,0.0587,0.4881
Scarlet Witch,PC,Competitive,Duelist,Bronze,0.0984,0.4915
Spider-Man,PC,Competitive,Duelist,Bronze,0.0476,0.5289
Squirrel Girl,PC,Competitive,Duelist,Bronze,0.0879,0.4754
Star-Lord,PC,Competitive,Duelist,Bronze,0.043,0.4891
Storm,PC,Competitive,Duelist,Bronze,0.0135,0.5422
The Punisher,PC,Competitive,Duelist,Bronze,0.0672,0.4654
Winter Soldier,PC,Competitive,Duelist,Bronze,0.0499,0.498
Wolverine,PC,Competitive,Duelist,Bronze,0.0142,0.4829
Adam Warlock,PC,Competitive,Strategist,Bronze,0.018,0.501
Cloak & Dagger,PC,Competitive,Strategist,Bronze,0.2005,0.4954
Gambit,PC,Competitive,Strategist,Bronze,0.234,0.5068
Invisible Woman,PC,Competitive,Strategist,Bronze,0.1641,0.5042
Jeff the Land Shark,PC,Competitive,Strategist,Bronze,0.1499,0.4674
Loki,PC,Competitive,Strategist,Bronze,0.0221,0.4729
Luna Snow,PC,Competitive,Strategist,Bronze,0.0788,0.4638
Mantis,PC,Competitive,Strategist,Bronze,0.0353,0.51
Rocket Raccoon ,PC,Competitive,Strategist,Bronze,0.077,0.5705
Ultron,PC,Competitive,Strategist,Bronze,0.0204,0.533
