Hero Name,Role,Rank,Pick Rate,Win Rate,hero_score,tier
Cloak & Dagger,Strategist,Bronze,0.2225,0.5219,1.2014937983029352,S
Jeff the Land Shark,Strategist,Bronze,0.1745,0.4763,0.2137135939701379,B
Gambit,Strategist,Bronze,0.1448,0.4961,0.30099613148116383,A
Invisible Woman,Strategist,Bronze,0.1283,0.4813,-0.025824737343068838,B
Moon Knight,Duelist,Bronze,0.1249,0.5219,1.721773051013495,S
Emma Frost,Vanguard,Bronze,0.1177,0.48369999999999996,-0.10300070994239091,B
Magneto,Vanguard,Bronze,0.1059,0.5005,0.09212805556511522,B
Deadpool,Vanguard,Bronze,0.1015,0.4924,-0.11337603449991646,B
Doctor Strange,Vanguard,Bronze,0.09849999999999999,0.4988,-0.022528141986893152,B
Peni Parker,Vanguard,Bronze,0.0931,0.5479999999999999,0.8709263172332768,A
Rogue,Vanguard,Bronze,0.08650000000000001,0.5303,0.4551568646604938,A
Luna Snow,Strategist,Bronze,0.08380000000000001,0.4864,-0.25241780729831953,B
The Punisher,Duelist,Bronze,0.08039999999999999,0.4728,0.357738180811874,A
Scarlet Witch,Duelist,Bronze,0.0799,0.49079999999999996,0.5729811116019112,A
Venom,Vanguard,Bronze,0.0789,0.46990000000000004,-0.7988309300727592,C
Thor,Vanguard,Bronze,0.07719999999999999,0.5291,0.32920331349069587,A
Groot,Vanguard,Bronze,0.0725,0.4904,-0.47239004821066344,C
Squirrel Girl,Duelist,Bronze,0.0723,0.4814,0.32741512525415384,A
Deadpool,Strategist,Bronze,0.0669,0.46950000000000003,-0.6124909223214233,C
The Thing,Vanguard,Bronze,0.0587,0.4946,-0.5434331900516454,C
Spider- Man,Duelist,Bronze,0.056100000000000004,0.5215,0.5513811004876875,A
Rocket Raccoon,Strategist,Bronze,0.055099999999999996,0.5434,0.3827702216693788,A
Phoenix,Duelist,Bronze,0.0529,0.4863,0.05969315942664283,B
Hela,Duelist,Bronze,0.0527,0.5219,0.49875903271693256,A
Psylocke,Duelist,Bronze,0.0518,0.4999,0.21008724711785415,B
Iron Man,Duelist,Bronze,0.051,0.5093,0.3133635138854021,A
Winter Soldier,Duelist,Bronze,0.0507,0.4832,-0.01610146939940338,B
Star-Lord,Duelist,Bronze,0.04650000000000001,0.4768,-0.1667885716625842,B
Magik,Duelist,Bronze,0.0454,0.5507,0.7330425818296393,A
